step 0: train loss 10.8545, val loss 10.8549
iter 2430: loss 4.2969, time 1310.16ms, mfu 92.55%
iter 2440: loss 4.2016, time 1305.95ms, mfu 92.57%
iter 2450: loss 4.2143, time 1316.17ms, mfu 92.52%
iter 2460: loss 4.2399, time 1312.79ms, mfu 92.50%
iter 2470: loss 4.2767, time 1310.72ms, mfu 92.49%
iter 2480: loss 4.2732, time 1310.45ms, mfu 92.49%
iter 2490: loss 4.1501, time 1304.93ms, mfu 92.52%
iter 2500: loss 4.2676, time 1305.13ms, mfu 92.55%
iter 2510: loss 4.2989, time 1311.57ms, mfu 92.54%
iter 2520: loss 4.2396, time 1311.42ms, mfu 92.52%
iter 2530: loss 4.2606, time 1310.91ms, mfu 92.51%
iter 2540: loss 4.2351, time 1311.69ms, mfu 92.50%
iter 2550: loss 4.2170, time 1315.65ms, mfu 92.46%
iter 2560: loss 4.2350, time 1309.78ms, mfu 92.46%
iter 2570: loss 4.1539, time 1308.15ms, mfu 92.48%
iter 2580: loss 4.1801, time 1301.27ms, mfu 92.54%
iter 2590: loss 4.0762, time 1310.47ms, mfu 92.53%
iter 2600: loss 4.2283, time 1308.77ms, mfu 92.54%
iter 2610: loss 4.1510, time 1314.19ms, mfu 92.50%
iter 2620: loss 4.1940, time 1307.03ms, mfu 92.52%
iter 2630: loss 4.1625, time 1309.68ms, mfu 92.52%
iter 2640: loss 4.2241, time 1310.01ms, mfu 92.52%
iter 2650: loss 4.2001, time 1304.05ms, mfu 92.56%
iter 2660: loss 4.2096, time 1306.55ms, mfu 92.58%
iter 2670: loss 4.1085, time 1313.89ms, mfu 92.54%
iter 2680: loss 4.1903, time 1304.95ms, mfu 92.57%
iter 2690: loss 4.0649, time 1311.84ms, mfu 92.55%
iter 2700: loss 4.1476, time 1313.27ms, mfu 92.52%
iter 2710: loss 4.1831, time 1309.44ms, mfu 92.52%
iter 2720: loss 4.1539, time 1304.19ms, mfu 92.56%
iter 2730: loss 4.1118, time 1305.52ms, mfu 92.58%
iter 2740: loss 4.1004, time 1303.01ms, mfu 92.62%
iter 2750: loss 4.1330, time 1302.51ms, mfu 92.66%
iter 2760: loss 4.0794, time 1305.82ms, mfu 92.68%
iter 2770: loss 4.1249, time 1306.41ms, mfu 92.68%
iter 2780: loss 4.1012, time 1306.46ms, mfu 92.69%
iter 2790: loss 4.0906, time 1303.70ms, mfu 92.71%
iter 2800: loss 4.1190, time 1314.06ms, mfu 92.66%
iter 2810: loss 4.0771, time 1304.84ms, mfu 92.68%
iter 2820: loss 4.1498, time 1308.25ms, mfu 92.68%
iter 2830: loss 4.1582, time 1311.67ms, mfu 92.64%
iter 2840: loss 4.1141, time 1310.76ms, mfu 92.62%
iter 2850: loss 4.0869, time 1304.12ms, mfu 92.65%
iter 2860: loss 4.0732, time 1308.01ms, mfu 92.65%
iter 2870: loss 4.0933, time 1307.94ms, mfu 92.65%
iter 2880: loss 3.9957, time 1312.30ms, mfu 92.62%
iter 2890: loss 4.0799, time 1313.26ms, mfu 92.58%
iter 2900: loss 4.0882, time 1303.22ms, mfu 92.62%
iter 2910: loss 4.1425, time 1302.72ms, mfu 92.66%
iter 2920: loss 4.0421, time 1311.77ms, mfu 92.63%
iter 2930: loss 4.0708, time 1305.43ms, mfu 92.65%
iter 2940: loss 4.0879, time 1306.05ms, mfu 92.66%
iter 2950: loss 4.1310, time 1309.11ms, mfu 92.65%
iter 2960: loss 4.0427, time 1307.01ms, mfu 92.65%
iter 2970: loss 4.0928, time 1307.97ms, mfu 92.65%
iter 2980: loss 4.0285, time 1307.56ms, mfu 92.65%
iter 2990: loss 4.0544, time 1304.83ms, mfu 92.67%
step 3000: train loss 4.0500, val loss 4.0629
saving checkpoint to out
iter 3000: loss 4.0255, time 37775.24ms, mfu 83.73%
iter 3010: loss 4.0749, time 1306.18ms, mfu 84.63%
iter 3020: loss 4.0568, time 1309.35ms, mfu 85.42%
iter 3030: loss 4.0085, time 1305.89ms, mfu 86.16%
iter 3040: loss 3.9953, time 1309.71ms, mfu 86.79%
iter 3050: loss 4.0821, time 1311.19ms, mfu 87.35%
iter 3060: loss 4.0144, time 1307.53ms, mfu 87.88%
iter 3070: loss 4.0493, time 1309.38ms, mfu 88.35%
iter 3080: loss 4.0448, time 1307.48ms, mfu 88.78%
iter 3090: loss 4.0802, time 1306.75ms, mfu 89.18%
iter 3100: loss 4.0727, time 1302.94ms, mfu 89.56%
iter 3110: loss 4.0186, time 1307.33ms, mfu 89.87%
iter 3120: loss 3.9625, time 1300.47ms, mfu 90.20%
iter 3130: loss 4.0687, time 1305.11ms, mfu 90.46%
iter 3140: loss 4.0392, time 1313.85ms, mfu 90.64%
iter 3150: loss 4.0291, time 1299.46ms, mfu 90.90%
iter 3160: loss 3.9879, time 1306.94ms, mfu 91.08%
iter 3170: loss 4.0894, time 1308.96ms, mfu 91.23%
iter 3180: loss 4.0266, time 1307.82ms, mfu 91.37%
iter 3190: loss 3.9306, time 1308.57ms, mfu 91.49%
iter 3200: loss 4.0707, time 1300.19ms, mfu 91.66%
iter 3210: loss 4.0399, time 1306.38ms, mfu 91.77%
iter 3220: loss 4.0350, time 1304.06ms, mfu 91.88%
iter 3230: loss 4.0131, time 1303.19ms, mfu 91.99%
iter 3240: loss 4.0259, time 1307.70ms, mfu 92.06%
iter 3250: loss 4.0180, time 1305.50ms, mfu 92.13%
iter 3260: loss 4.0120, time 1310.89ms, mfu 92.16%
iter 3270: loss 3.9479, time 1304.62ms, mfu 92.23%
iter 3280: loss 3.9697, time 1301.94ms, mfu 92.32%
iter 3290: loss 4.0330, time 1309.74ms, mfu 92.34%
iter 3300: loss 4.0062, time 1304.17ms, mfu 92.39%
iter 3310: loss 3.9721, time 1309.23ms, mfu 92.41%
iter 3320: loss 3.9649, time 1304.01ms, mfu 92.46%
iter 3330: loss 4.0027, time 1306.77ms, mfu 92.48%
iter 3340: loss 3.9356, time 1303.39ms, mfu 92.53%
iter 3350: loss 3.9428, time 1309.30ms, mfu 92.53%
iter 3360: loss 3.9638, time 1301.34ms, mfu 92.59%
iter 3370: loss 3.9684, time 1305.45ms, mfu 92.61%
iter 3380: loss 3.9711, time 1308.55ms, mfu 92.61%
iter 3390: loss 3.9930, time 1306.67ms, mfu 92.62%
iter 3400: loss 3.9965, time 1303.03ms, mfu 92.66%
iter 3410: loss 3.9053, time 1313.45ms, mfu 92.62%
iter 3420: loss 3.9425, time 1303.11ms, mfu 92.65%
iter 3430: loss 3.9418, time 1301.42ms, mfu 92.70%
iter 3440: loss 3.9239, time 1314.03ms, mfu 92.65%
iter 3450: loss 3.9218, time 1305.41ms, mfu 92.67%
iter 3460: loss 3.9779, time 1308.55ms, mfu 92.66%
iter 3470: loss 3.9475, time 1309.82ms, mfu 92.64%
iter 3480: loss 3.9885, time 1309.33ms, mfu 92.63%
iter 3490: loss 3.8957, time 1310.70ms, mfu 92.61%
iter 3500: loss 4.0100, time 1305.99ms, mfu 92.63%
iter 3510: loss 3.9135, time 1303.50ms, mfu 92.66%
iter 3520: loss 3.9078, time 1309.22ms, mfu 92.65%
iter 3530: loss 3.9596, time 1309.28ms, mfu 92.64%
iter 3540: loss 3.8866, time 1306.10ms, mfu 92.65%
iter 3550: loss 4.0255, time 1311.31ms, mfu 92.63%
iter 3560: loss 3.9083, time 1305.88ms, mfu 92.64%
iter 3570: loss 3.9453, time 1301.78ms, mfu 92.68%
iter 3580: loss 3.9691, time 1305.02ms, mfu 92.70%
iter 3590: loss 3.9900, time 1309.01ms, mfu 92.69%
iter 3600: loss 3.9370, time 1313.00ms, mfu 92.65%
iter 3610: loss 3.9643, time 1310.35ms, mfu 92.63%
iter 3620: loss 3.8887, time 1301.13ms, mfu 92.68%
iter 3630: loss 3.9561, time 1309.80ms, mfu 92.66%
iter 3640: loss 3.9424, time 1309.40ms, mfu 92.65%
iter 3650: loss 3.9500, time 1308.99ms, mfu 92.64%
