step 0: train loss 10.9478, val loss 10.9479
iter 3980: loss 3.7190, time 1312.76ms, mfu 92.21%
iter 3990: loss 3.6574, time 1310.53ms, mfu 92.18%
step 4000: train loss 3.6871, val loss 3.6906
saving checkpoint to out
iter 4000: loss 3.7663, time 37794.50ms, mfu 83.28%
iter 4010: loss 3.6285, time 1301.13ms, mfu 84.21%
iter 4020: loss 3.7602, time 1301.08ms, mfu 85.05%
iter 4030: loss 3.6933, time 1307.24ms, mfu 85.76%
iter 4040: loss 3.6449, time 1310.08ms, mfu 86.38%
iter 4050: loss 3.7661, time 1303.87ms, mfu 86.98%
iter 4060: loss 3.7131, time 1306.69ms, mfu 87.50%
iter 4070: loss 3.6895, time 1304.61ms, mfu 87.98%
iter 4080: loss 3.6454, time 1311.37ms, mfu 88.37%
iter 4090: loss 3.7233, time 1307.58ms, mfu 88.74%
iter 4100: loss 3.7304, time 1307.60ms, mfu 89.08%
iter 4110: loss 3.6865, time 1299.79ms, mfu 89.44%
iter 4120: loss 3.7032, time 1306.86ms, mfu 89.71%
iter 4130: loss 3.6750, time 1306.88ms, mfu 89.96%
iter 4140: loss 3.6684, time 1312.14ms, mfu 90.14%
iter 4150: loss 3.5617, time 1305.52ms, mfu 90.35%
iter 4160: loss 3.7157, time 1305.21ms, mfu 90.55%
iter 4170: loss 3.7101, time 1301.38ms, mfu 90.75%
iter 4180: loss 3.6767, time 1306.53ms, mfu 90.89%
iter 4190: loss 3.5989, time 1304.04ms, mfu 91.04%
iter 4200: loss 3.7296, time 1313.01ms, mfu 91.11%
iter 4210: loss 3.6285, time 1306.85ms, mfu 91.22%
iter 4220: loss 3.6441, time 1300.65ms, mfu 91.36%
iter 4230: loss 3.6107, time 1300.20ms, mfu 91.49%
iter 4240: loss 3.6858, time 1305.63ms, mfu 91.56%
iter 4250: loss 3.6356, time 1302.97ms, mfu 91.65%
iter 4260: loss 3.6505, time 1308.66ms, mfu 91.69%
iter 4270: loss 3.7080, time 1307.27ms, mfu 91.74%
iter 4280: loss 3.6455, time 1308.55ms, mfu 91.77%
iter 4290: loss 3.7405, time 1305.67ms, mfu 91.82%
iter 4300: loss 3.6842, time 1308.92ms, mfu 91.84%
iter 4310: loss 3.6213, time 1303.93ms, mfu 91.89%
iter 4320: loss 3.6676, time 1302.02ms, mfu 91.95%
