step 0: train loss 10.9210, val loss 10.9203
iter 2310: loss 3.9487, time 747.21ms, mfu 74.52%
iter 2320: loss 3.9547, time 749.68ms, mfu 74.54%
iter 2330: loss 3.9677, time 748.54ms, mfu 74.56%
iter 2340: loss 3.9098, time 748.91ms, mfu 74.58%
iter 2350: loss 3.9041, time 749.45ms, mfu 74.60%
iter 2360: loss 3.9316, time 748.05ms, mfu 74.62%
iter 2370: loss 3.9595, time 749.39ms, mfu 74.63%
iter 2380: loss 3.8745, time 749.05ms, mfu 74.64%
iter 2390: loss 3.8937, time 748.65ms, mfu 74.66%
iter 2400: loss 3.9265, time 745.76ms, mfu 74.70%
iter 2410: loss 3.9078, time 750.57ms, mfu 74.69%
iter 2420: loss 3.9242, time 750.91ms, mfu 74.68%
iter 2430: loss 3.9063, time 750.83ms, mfu 74.66%
iter 2440: loss 3.8507, time 749.55ms, mfu 74.67%
iter 2450: loss 3.9037, time 749.22ms, mfu 74.67%
iter 2460: loss 3.8784, time 749.12ms, mfu 74.68%
iter 2470: loss 3.9999, time 750.17ms, mfu 74.68%
iter 2480: loss 3.9337, time 750.27ms, mfu 74.67%
iter 2490: loss 3.8948, time 750.05ms, mfu 74.67%
iter 2500: loss 3.8481, time 744.88ms, mfu 74.72%
iter 2510: loss 3.8042, time 750.48ms, mfu 74.71%
iter 2520: loss 3.8733, time 751.00ms, mfu 74.69%
iter 2530: loss 3.9667, time 749.99ms, mfu 74.69%
iter 2540: loss 3.9242, time 748.76ms, mfu 74.70%
iter 2550: loss 3.8613, time 749.10ms, mfu 74.70%
iter 2560: loss 3.8458, time 749.82ms, mfu 74.70%
iter 2570: loss 3.9218, time 750.43ms, mfu 74.69%
iter 2580: loss 3.8333, time 748.52ms, mfu 74.70%
iter 2590: loss 3.8787, time 749.16ms, mfu 74.70%
iter 2600: loss 3.8180, time 748.23ms, mfu 74.72%
iter 2610: loss 3.8627, time 748.40ms, mfu 74.73%
iter 2620: loss 3.8517, time 747.72ms, mfu 74.74%
iter 2630: loss 3.9047, time 749.18ms, mfu 74.74%
iter 2640: loss 3.8948, time 748.72ms, mfu 74.74%
iter 2650: loss 3.8654, time 749.04ms, mfu 74.74%
iter 2660: loss 3.9324, time 749.89ms, mfu 74.74%
iter 2670: loss 3.8728, time 749.72ms, mfu 74.73%
iter 2680: loss 3.8272, time 749.38ms, mfu 74.73%
iter 2690: loss 3.8840, time 745.54ms, mfu 74.77%
iter 2700: loss 3.8455, time 747.38ms, mfu 74.78%
iter 2710: loss 3.8603, time 749.99ms, mfu 74.77%
iter 2720: loss 3.8570, time 748.91ms, mfu 74.77%
iter 2730: loss 3.8239, time 748.75ms, mfu 74.77%
iter 2740: loss 3.8702, time 749.23ms, mfu 74.76%
iter 2750: loss 3.8413, time 748.71ms, mfu 74.77%
iter 2760: loss 3.8069, time 748.16ms, mfu 74.77%
iter 2770: loss 3.8084, time 749.27ms, mfu 74.77%
iter 2780: loss 3.7739, time 749.50ms, mfu 74.76%
iter 2790: loss 3.9094, time 748.59ms, mfu 74.76%
iter 2800: loss 3.7362, time 745.47ms, mfu 74.80%
iter 2810: loss 3.9325, time 748.95ms, mfu 74.79%
iter 2820: loss 3.8127, time 749.81ms, mfu 74.78%
iter 2830: loss 3.8539, time 748.89ms, mfu 74.78%
iter 2840: loss 3.8321, time 749.64ms, mfu 74.77%
iter 2850: loss 3.7869, time 749.17ms, mfu 74.77%
iter 2860: loss 3.8448, time 748.69ms, mfu 74.77%
iter 2870: loss 3.8057, time 749.98ms, mfu 74.76%
iter 2880: loss 3.7366, time 748.68ms, mfu 74.76%
iter 2890: loss 3.8421, time 749.30ms, mfu 74.76%
iter 2900: loss 3.7928, time 747.32ms, mfu 74.77%
iter 2910: loss 3.8478, time 748.74ms, mfu 74.77%
iter 2920: loss 3.7734, time 749.97ms, mfu 74.76%
iter 2930: loss 3.7672, time 749.26ms, mfu 74.76%
iter 2940: loss 3.7525, time 750.18ms, mfu 74.74%
iter 2950: loss 3.8381, time 749.10ms, mfu 74.74%
iter 2960: loss 3.7825, time 749.71ms, mfu 74.74%
iter 2970: loss 3.7389, time 749.53ms, mfu 74.73%
iter 2980: loss 3.8007, time 750.21ms, mfu 74.72%
iter 2990: loss 3.8330, time 749.06ms, mfu 74.73%
step 3000: train loss 3.7818, val loss 3.7848
saving checkpoint to out
iter 3000: loss 3.7697, time 21941.26ms, mfu 67.51%
iter 3010: loss 3.7079, time 749.45ms, mfu 68.23%
iter 3020: loss 3.8817, time 744.75ms, mfu 68.92%
iter 3030: loss 3.7998, time 751.04ms, mfu 69.49%
iter 3040: loss 3.8344, time 750.44ms, mfu 70.00%
iter 3050: loss 3.7746, time 750.86ms, mfu 70.45%
iter 3060: loss 3.8128, time 750.78ms, mfu 70.87%
iter 3070: loss 3.6888, time 751.39ms, mfu 71.23%
iter 3080: loss 3.8002, time 750.25ms, mfu 71.57%
iter 3090: loss 3.8074, time 750.20ms, mfu 71.88%
iter 3100: loss 3.7452, time 747.65ms, mfu 72.18%
iter 3110: loss 3.8190, time 751.40ms, mfu 72.41%
iter 3120: loss 3.7768, time 749.61ms, mfu 72.64%
iter 3130: loss 3.6151, time 750.01ms, mfu 72.84%
iter 3140: loss 3.7299, time 750.06ms, mfu 73.02%
iter 3150: loss 3.7540, time 751.02ms, mfu 73.17%
iter 3160: loss 3.7870, time 750.58ms, mfu 73.32%
iter 3170: loss 3.7117, time 750.35ms, mfu 73.45%
iter 3180: loss 3.7409, time 749.39ms, mfu 73.57%
iter 3190: loss 3.7597, time 751.53ms, mfu 73.67%
iter 3200: loss 3.7159, time 747.61ms, mfu 73.79%
iter 3210: loss 3.7571, time 749.51ms, mfu 73.88%
iter 3220: loss 3.6803, time 752.11ms, mfu 73.94%
iter 3230: loss 3.7258, time 748.22ms, mfu 74.02%
iter 3240: loss 3.7436, time 749.62ms, mfu 74.09%
iter 3250: loss 3.7302, time 750.47ms, mfu 74.14%
iter 3260: loss 3.7055, time 748.13ms, mfu 74.21%
iter 3270: loss 3.6440, time 747.78ms, mfu 74.28%
iter 3280: loss 3.8250, time 749.92ms, mfu 74.32%
