step 0: train loss 10.8173, val loss 10.8175
iter 2320: loss 4.4018, time 1020.04ms, mfu 99.23%
iter 2330: loss 4.4194, time 1019.64ms, mfu 99.29%
iter 2340: loss 4.4290, time 1021.88ms, mfu 99.32%
iter 2350: loss 4.4492, time 1024.73ms, mfu 99.32%
iter 2360: loss 4.4162, time 1023.22ms, mfu 99.33%
iter 2370: loss 4.4690, time 1017.92ms, mfu 99.40%
iter 2380: loss 4.4910, time 1024.06ms, mfu 99.40%
iter 2390: loss 4.3238, time 1026.64ms, mfu 99.37%
iter 2400: loss 4.3365, time 1023.39ms, mfu 99.38%
iter 2410: loss 4.4082, time 1021.80ms, mfu 99.40%
iter 2420: loss 4.3409, time 1021.60ms, mfu 99.42%
iter 2430: loss 4.3898, time 1024.72ms, mfu 99.41%
iter 2440: loss 4.4357, time 1017.97ms, mfu 99.47%
iter 2450: loss 4.3267, time 1024.01ms, mfu 99.46%
iter 2460: loss 4.3340, time 1024.76ms, mfu 99.45%
iter 2470: loss 4.3116, time 1022.00ms, mfu 99.46%
iter 2480: loss 4.3239, time 1023.90ms, mfu 99.46%
iter 2490: loss 4.2532, time 1023.90ms, mfu 99.45%
iter 2500: loss 4.2908, time 1025.24ms, mfu 99.43%
iter 2510: loss 4.3213, time 1022.69ms, mfu 99.44%
iter 2520: loss 4.3568, time 1023.53ms, mfu 99.44%
iter 2530: loss 4.3574, time 1020.74ms, mfu 99.47%
iter 2540: loss 4.2477, time 1021.72ms, mfu 99.48%
iter 2550: loss 4.2840, time 1023.99ms, mfu 99.47%
iter 2560: loss 4.3050, time 1020.33ms, mfu 99.50%
iter 2570: loss 4.3429, time 1024.88ms, mfu 99.48%
iter 2580: loss 4.2175, time 1022.23ms, mfu 99.49%
iter 2590: loss 4.3335, time 1024.36ms, mfu 99.48%
iter 2600: loss 4.2809, time 1023.43ms, mfu 99.47%
iter 2610: loss 4.2582, time 1025.41ms, mfu 99.45%
iter 2620: loss 4.2738, time 1022.03ms, mfu 99.46%
iter 2630: loss 4.2776, time 1019.43ms, mfu 99.50%
iter 2640: loss 4.2357, time 1021.92ms, mfu 99.51%
iter 2650: loss 4.2859, time 1022.24ms, mfu 99.52%
iter 2660: loss 4.2743, time 1021.41ms, mfu 99.53%
iter 2670: loss 4.1852, time 1021.37ms, mfu 99.54%
iter 2680: loss 4.2265, time 1024.61ms, mfu 99.52%
iter 2690: loss 4.3220, time 1023.51ms, mfu 99.51%
iter 2700: loss 4.2292, time 1022.71ms, mfu 99.51%
