step 0: train loss 10.9894, val loss 10.9903
iter 2140: loss 3.7713, time 1083.65ms, mfu 121.48%
iter 2150: loss 3.6950, time 1083.68ms, mfu 121.76%
iter 2160: loss 3.6138, time 1087.60ms, mfu 121.96%
iter 2170: loss 3.7163, time 1086.23ms, mfu 122.17%
iter 2180: loss 3.6753, time 1082.01ms, mfu 122.39%
iter 2190: loss 3.7000, time 1086.71ms, mfu 122.55%
iter 2200: loss 3.7528, time 1085.33ms, mfu 122.70%
iter 2210: loss 3.6462, time 1086.54ms, mfu 122.82%
iter 2220: loss 3.6406, time 1084.27ms, mfu 122.96%
iter 2230: loss 3.6491, time 1083.84ms, mfu 123.09%
iter 2240: loss 3.7643, time 1083.73ms, mfu 123.20%
iter 2250: loss 3.6921, time 1085.22ms, mfu 123.29%
iter 2260: loss 3.7532, time 1080.33ms, mfu 123.43%
iter 2270: loss 3.7339, time 1089.24ms, mfu 123.45%
iter 2280: loss 3.6621, time 1082.31ms, mfu 123.54%
iter 2290: loss 3.6911, time 1085.98ms, mfu 123.59%
iter 2300: loss 3.7135, time 1084.86ms, mfu 123.64%
iter 2310: loss 3.6890, time 1086.75ms, mfu 123.67%
iter 2320: loss 3.6805, time 1082.31ms, mfu 123.75%
iter 2330: loss 3.7148, time 1081.36ms, mfu 123.82%
iter 2340: loss 3.7175, time 1088.04ms, mfu 123.82%
iter 2350: loss 3.5954, time 1086.96ms, mfu 123.82%
iter 2360: loss 3.6315, time 1086.29ms, mfu 123.84%
iter 2370: loss 3.7270, time 1083.00ms, mfu 123.89%
iter 2380: loss 3.6899, time 1086.21ms, mfu 123.90%
iter 2390: loss 3.6534, time 1084.08ms, mfu 123.93%
iter 2400: loss 3.6941, time 1083.25ms, mfu 123.97%
iter 2410: loss 3.6066, time 1082.13ms, mfu 124.01%
iter 2420: loss 3.6455, time 1082.38ms, mfu 124.05%
iter 2430: loss 3.6280, time 1084.72ms, mfu 124.06%
iter 2440: loss 3.6252, time 1083.79ms, mfu 124.08%
iter 2450: loss 3.6939, time 1085.95ms, mfu 124.07%
iter 2460: loss 3.5990, time 1086.11ms, mfu 124.06%
iter 2470: loss 3.6449, time 1080.70ms, mfu 124.12%
iter 2480: loss 3.6518, time 1082.54ms, mfu 124.15%
iter 2490: loss 3.6751, time 1079.47ms, mfu 124.21%
iter 2500: loss 3.6238, time 1081.04ms, mfu 124.24%
iter 2510: loss 3.5996, time 1085.50ms, mfu 124.22%
iter 2520: loss 3.6793, time 1084.09ms, mfu 124.22%
iter 2530: loss 3.6351, time 1083.96ms, mfu 124.22%
iter 2540: loss 3.5995, time 1082.01ms, mfu 124.25%
iter 2550: loss 3.5402, time 1087.84ms, mfu 124.20%
iter 2560: loss 3.6579, time 1084.45ms, mfu 124.20%
iter 2570: loss 3.5651, time 1081.80ms, mfu 124.22%
iter 2580: loss 3.5854, time 1080.99ms, mfu 124.26%
iter 2590: loss 3.5739, time 1081.99ms, mfu 124.28%
iter 2600: loss 3.6583, time 1083.45ms, mfu 124.28%
iter 2610: loss 3.6034, time 1085.61ms, mfu 124.26%
iter 2620: loss 3.5693, time 1084.70ms, mfu 124.24%
iter 2630: loss 3.5503, time 1083.59ms, mfu 124.25%
iter 2640: loss 3.5794, time 1085.68ms, mfu 124.23%
iter 2650: loss 3.5898, time 1084.24ms, mfu 124.22%
iter 2660: loss 3.5794, time 1082.79ms, mfu 124.24%
iter 2670: loss 3.6030, time 1080.95ms, mfu 124.27%
iter 2680: loss 3.5443, time 1083.98ms, mfu 124.27%
iter 2690: loss 3.5744, time 1081.15ms, mfu 124.29%
iter 2700: loss 3.5828, time 1081.28ms, mfu 124.32%
iter 2710: loss 3.5738, time 1083.97ms, mfu 124.31%
iter 2720: loss 3.5542, time 1085.63ms, mfu 124.28%
iter 2730: loss 3.5133, time 1084.13ms, mfu 124.28%
iter 2740: loss 3.5239, time 1082.88ms, mfu 124.28%
iter 2750: loss 3.5689, time 1085.10ms, mfu 124.26%
iter 2760: loss 3.5613, time 1084.42ms, mfu 124.26%
iter 2770: loss 3.5414, time 1082.19ms, mfu 124.27%
iter 2780: loss 3.5582, time 1082.29ms, mfu 124.29%
iter 2790: loss 3.5569, time 1089.78ms, mfu 124.22%
iter 2800: loss 3.6889, time 1082.75ms, mfu 124.23%
iter 2810: loss 3.5955, time 1085.86ms, mfu 124.21%
iter 2820: loss 3.5539, time 1081.98ms, mfu 124.23%
iter 2830: loss 3.5160, time 1083.28ms, mfu 124.24%
iter 2840: loss 3.6021, time 1087.29ms, mfu 124.20%
iter 2850: loss 3.5746, time 1083.26ms, mfu 124.21%
iter 2860: loss 3.6356, time 1087.04ms, mfu 124.18%
iter 2870: loss 3.5813, time 1085.28ms, mfu 124.17%
